episode,reward,model,reward_mean
10,200.0,dqn,
11,200.0,dqn,
12,200.0,dqn,
13,200.0,dqn,
14,200.0,dqn,
15,200.0,dqn,
16,200.0,dqn,
17,200.0,dqn,
18,200.0,dqn,
19,200.0,dqn,
20,200.0,dqn,
21,200.0,dqn,
22,200.0,dqn,
23,200.0,dqn,
24,200.0,dqn,
25,200.0,dqn,
26,200.0,dqn,
27,200.0,dqn,
28,200.0,dqn,
29,200.0,dqn,
30,200.0,dqn,
31,200.0,dqn,
32,200.0,dqn,
33,200.0,dqn,
34,200.0,dqn,
35,200.0,dqn,
36,200.0,dqn,
37,200.0,dqn,
38,200.0,dqn,
39,200.0,dqn,
40,200.0,dqn,
41,200.0,dqn,
42,200.0,dqn,
43,200.0,dqn,
44,200.0,dqn,
45,200.0,dqn,
46,200.0,dqn,
47,200.0,dqn,
48,200.0,dqn,
49,200.0,dqn,200.0
50,200.0,dqn,200.0
51,200.0,dqn,200.0
52,200.0,dqn,200.0
53,200.0,dqn,200.0
54,200.0,dqn,200.0
55,200.0,dqn,200.0
56,200.0,dqn,200.0
57,200.0,dqn,200.0
58,200.0,dqn,200.0
59,200.0,dqn,200.0
60,200.0,dqn,200.0
61,200.0,dqn,200.0
62,200.0,dqn,200.0
63,131.0,dqn,198.62
64,200.0,dqn,198.62
65,200.0,dqn,198.62
66,200.0,dqn,198.62
67,200.0,dqn,198.62
68,200.0,dqn,198.62
69,200.0,dqn,198.62
70,200.0,dqn,198.62
71,200.0,dqn,198.62
72,200.0,dqn,198.62
73,200.0,dqn,198.62
74,200.0,dqn,198.62
75,200.0,dqn,198.62
76,200.0,dqn,198.62
77,200.0,dqn,198.62
78,200.0,dqn,198.62
79,200.0,dqn,198.62
80,200.0,dqn,198.62
81,200.0,dqn,198.62
82,200.0,dqn,198.62
83,200.0,dqn,198.62
84,200.0,dqn,198.62
85,200.0,dqn,198.62
86,200.0,dqn,198.62
87,200.0,dqn,198.62
88,200.0,dqn,198.62
89,200.0,dqn,198.62
90,200.0,dqn,198.62
91,200.0,dqn,198.62
92,200.0,dqn,198.62
93,200.0,dqn,198.62
94,200.0,dqn,198.62
95,200.0,dqn,198.62
96,200.0,dqn,198.62
97,200.0,dqn,198.62
98,200.0,dqn,198.62
99,200.0,dqn,198.62
100,200.0,dqn,198.62
